id,group,part,class,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
1,reneri,1,Tile,36,78,7,11,9,19,8,11,2,8
1,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
1,reneri,2,Tile,10,104,5,13,3,25,5,14,0,10
1,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
2,pit,1,Tile,,,,,,,,,,
2,pit,1,Grid,,,,,,,,,,
2,pit,2,Tile,,,,,,,,,,
2,pit,2,Grid,,,,,,,,,,
3,reneri,1,Tile,30,84,6,12,5,23,7,12,1,9
3,reneri,1,Grid,77,44,8,0,14,11,9,4,5,4
3,reneri,2,Tile,28,86,5,13,5,23,6,13,1,9
3,reneri,2,Grid,10,111,0,8,4,21,2,11,2,7
4,reneri,1,Tile,,,,,,,,,,
4,reneri,1,Grid,,,,,,,,,,
4,reneri,2,Tile,,,,,,,,,,
4,reneri,2,Grid,,,,,,,,,,
5,reneri,1,Tile,8,106,2,16,1,27,3,16,1,9
5,reneri,1,Grid,75,46,8,0,13,12,8,5,4,5
5,reneri,2,Tile,8,106,2,16,1,27,3,16,1,9
5,reneri,2,Grid,28,93,2,6,5,20,3,10,2,7
6,reneri,1,Tile,63,51,13,5,15,13,13,6,5,5
6,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
6,reneri,2,Tile,16,98,7,11,4,24,8,11,1,9
6,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
7,reneri,1,Tile,12,102,3,15,2,26,5,14,2,8
7,reneri,1,Grid,90,31,8,0,17,8,10,3,6,3
7,reneri,2,Tile,12,102,3,15,2,26,5,14,2,8
7,reneri,2,Grid,77,44,8,0,14,11,9,4,5,4
8,reneri,1,Tile,15,99,6,12,4,24,7,12,1,9
8,reneri,1,Grid,21,100,2,6,4,21,2,11,1,8
8,reneri,2,Tile,13,101,5,13,3,25,6,13,1,9
8,reneri,2,Grid,21,100,2,6,4,21,2,11,1,8
9,pit,1,Tile,,,,,,,,,,
9,pit,1,Grid,,,,,,,,,,
9,pit,2,Tile,,,,,,,,,,
9,pit,2,Grid,,,,,,,,,,
10,reneri,1,Tile,76,38,17,1,18,10,14,5,5,5
10,reneri,1,Grid,121,0,8,0,25,0,13,0,9,0
10,reneri,2,Tile,16,98,7,11,4,24,8,11,1,9
10,reneri,2,Grid,121,0,8,0,25,0,13,0,9,0
11,reneri,1,Tile,15,99,4,14,4,24,6,13,2,8
11,reneri,1,Grid,97,24,8,0,18,7,11,2,7,2
11,reneri,2,Tile,15,99,3,15,4,24,5,14,2,8
