id,group,part,not_reached,not_infected,not_propagated,not_revealed
1,reneri,1,16,0,0,0
1,reneri,2,15,0,0,0
2,pit,1,,,,
2,pit,2,,,,
3,reneri,1,12,1,0,0
3,reneri,2,9,0,0,0
4,reneri,1,,,,
4,reneri,2,,,,
5,reneri,1,11,0,0,0
5,reneri,2,5,2,0,0
6,reneri,1,17,0,0,12
6,reneri,2,15,0,0,0
7,reneri,1,13,0,0,0
7,reneri,2,12,0,0,0
8,reneri,1,9,1,0,0
8,reneri,2,9,1,0,0
9,pit,1,,,,
9,pit,2,,,,
10,reneri,1,18,0,0,0
10,reneri,2,15,0,0,1
11,reneri,1,14,1,0,0
11,reneri,2,10,0,0,0
12,pit,1,17,0,0,0
12,pit,2,15,0,0,0
13,reneri,1,,,,
13,reneri,2,,,,
14,pit,1,16,0,0,0
14,pit,2,15,0,0,0
15,pit,1,15,0,0,0
15,pit,2,14,0,0,0
16,reneri,1,,,,
16,reneri,2,,,,
17,reneri,1,13,0,0,0
17,reneri,2,13,0,0,0
18,pit,1,15,1,0,0
18,pit,2,,,,
19,pit,1,14,1,0,0
19,pit,2,6,3,0,8
20,pit,1,,,,
20,pit,2,9,0,0,0
21,pit,1,,,,
21,pit,2,16,0,0,0
22,reneri,1,,,,
22,reneri,2,17,0,0,0
23,reneri,1,15,0,0,0
23,reneri,2,9,0,0,0
24,reneri,1,15,0,0,0
24,reneri,2,,,,
25,reneri,1,15,0,0,0
25,reneri,2,6,0,0,0
26,reneri,1,16,0,0,0
26,reneri,2,,,,
27,pit,1,16,0,0,0
27,pit,2,15,0,0,0
28,pit,1,16,0,0,0
28,pit,2,15,0,0,0
29,pit,1,15,0,0,0
29,pit,2,12,0,0,0
30,pit,1,15,0,0,0
30,pit,2,11,0,0,0
31,pit,1,17,0,0,14
31,pit,2,15,1,0,0
32,reneri,1,17,1,0,12
32,reneri,2,17,1,0,16
33,pit,1,15,0,0,0
33,pit,2,15,0,0,0
34,pit,1,16,0,0,0
34,pit,2,16,0,0,0
35,reneri,1,,,,
35,reneri,2,12,2,0,4
36,reneri,1,15,0,0,78
36,reneri,2,15,0,0,0
37,pit,1,10,0,3,6
37,pit,2,9,0,0,0
38,pit,1,17,1,2,0
38,pit,2,15,0,0,0
39,pit,1,15,0,0,0
39,pit,2,15,0,0,0
40,reneri,1,15,0,0,0
40,reneri,2,15,0,0,0
41,pit,1,12,1,0,0
41,pit,2,12,1,0,0
42,pit,1,15,0,0,0
42,pit,2,15,0,0,0
43,reneri,1,16,0,0,0
43,reneri,2,16,0,0,0
