id,group,part,total,Tile,Grid,returns.BooleanFalseReturnValsMutator,IncrementsMutator,VoidMethodCallMutator,returns.BooleanTrueReturnValsMutator,ConditionalsBoundaryMutator,returns.NullReturnValsMutator,returns.EmptyObjectReturnValsMutator,NegateConditionalsMutator,MathMutator,returns.PrimitiveReturnsMutator,Tile.getNearestPower2,Tile.getValue,Tile.isMerged,Tile.canMergeWith,Tile.mergeWith,Tile.toString,Tile.equals,Grid.getTile,Grid.getRow,Grid.getCol,Grid.setTile,Grid.getLength,Grid.clearMerged
1,reneri,1,14,14,0,0,0,0,3,0,0,1,7,1,2,2,1,0,6,0,1,4,0,0,0,0,0,0
1,reneri,2,19,19,0,1,0,1,4,0,0,1,8,2,2,2,1,2,6,3,1,4,0,0,0,0,0,0
2,pit,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pit,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,reneri,1,16,14,2,1,0,0,5,0,2,0,6,0,2,1,0,2,4,2,0,5,2,0,0,0,0,0
3,reneri,2,27,17,10,1,2,1,5,1,4,0,10,0,3,1,1,2,6,2,0,5,2,1,4,0,0,3
4,reneri,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,reneri,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,reneri,1,27,22,5,1,0,0,7,0,2,0,8,4,5,2,1,2,7,4,0,6,2,0,0,2,1,0
5,reneri,2,32,22,10,1,1,1,7,0,2,0,9,6,5,2,1,2,7,4,0,6,4,0,0,2,1,3
6,reneri,1,4,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
6,reneri,2,16,16,0,1,0,1,2,0,0,0,8,2,2,2,1,1,5,3,0,4,0,0,0,0,0,0
7,reneri,1,19,18,1,0,0,0,5,0,1,0,8,2,3,2,1,0,7,3,0,5,1,0,0,0,0,0
7,reneri,2,24,18,6,0,0,0,5,0,2,0,8,6,3,2,1,0,7,3,0,5,4,0,0,2,0,0
8,reneri,1,30,19,11,1,1,2,4,0,3,0,9,6,4,2,1,2,7,4,0,3,4,1,0,2,1,3
8,reneri,2,31,20,11,1,1,2,4,0,3,0,9,6,5,2,1,2,7,5,0,3,4,1,0,2,1,3
9,pit,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,pit,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,reneri,1,4,4,0,0,0,0,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
10,reneri,2,12,12,0,0,0,0,3,0,0,0,5,2,2,2,1,1,5,2,0,1,0,0,0,0,0,0
11,reneri,1,21,19,2,0,0,1,4,0,0,0,8,4,4,2,1,0,7,5,0,4,0,0,0,2,0,0
11,reneri,2,27,19,8,0,1,2,4,0,2,0,9,4,5,2,1,0,7,5,0,4,2,0,0,2,1,3
12,pit,1,9,9,0,0,0,0,2,0,0,0,4,1,2,2,1,0,6,0,0,0,0,0,0,0,0,0
12,pit,2,21,21,0,0,0,1,6,0,0,0,8,2,4,2,1,0,7,5,0,6,0,0,0,0,0,0
13,reneri,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,reneri,2,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pit,1,12,12,0,0,0,0,2,0,0,0,7,1,2,2,1,0,5,0,0,4,0,0,0,0,0,0
14,pit,2,21,21,0,1,0,1,5,0,0,0,8,2,4,2,1,2,7,5,0,4,0,0,0,0,0,0
15,pit,1,19,19,0,0,0,0,5,0,0,0,8,2,4,2,1,0,7,4,0,5,0,0,0,0,0,0
15,pit,2,25,24,1,1,0,1,7,0,1,1,8,2,4,2,1,2,7,5,1,6,1,0,0,0,0,0
16,reneri,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,reneri,2,,,,,,,,,,,,,,,,,,,,,,,,,,
17,reneri,1,17,11,6,0,0,0,1,0,2,0,5,6,3,2,1,0,5,3,0,0,4,0,0,2,0,0
17,reneri,2,19,13,6,0,0,1,2,0,2,0,5,6,3,2,1,0,6,4,0,0,4,0,0,2,0,0
18,pit,1,16,16,0,0,0,0,3,0,0,0,8,2,3,2,1,0,7,3,0,3,0,0,0,0,0,0
18,pit,2,,,,,,,,,,,,,,,,,,,,,,,,,,
19,pit,1,23,23,0,1,0,0,7,0,0,1,8,2,4,2,1,2,7,4,1,6,0,0,0,0,0,0
19,pit,2,39,24,15,1,2,2,7,1,4,1,10,6,5,2,1,2,7,5,1,6,4,1,4,2,1,3
20,pit,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,pit,2,29,22,7,1,0,1,6,0,2,1,8,6,4,2,1,2,7,4,1,5,4,0,0,2,1,0
21,pit,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,pit,2,17,17,0,1,0,1,4,0,0,0,5,2,4,2,1,2,7,5,0,0,0,0,0,0,0,0
22,reneri,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,reneri,2,8,8,0,0,0,0,2,0,0,0,3,1,2,2,1,0,0,0,0,5,0,0,0,0,0,0
23,reneri,1,22,22,0,1,0,1,5,0,0,1,8,2,4,2,1,2,7,5,1,4,0,0,0,0,0,0
23,reneri,2,36,24,12,1,1,1,7,1,4,1,9,6,5,2,1,2,7,5,1,6,4,1,4,2,1,0
24,reneri,1,21,21,0,1,0,1,4,0,0,1,8,2,4,2,1,2,5,5,1,5,0,0,0,0,0,0
24,reneri,2,,,,,,,,,,,,,,,,,,,,,,,,,,
25,reneri,1,23,23,0,1,0,1,6,0,0,1,8,2,4,2,1,2,7,5,1,5,0,0,0,0,0,0
25,reneri,2,38,24,14,1,2,2,7,1,4,1,9,6,5,2,1,2,7,5,1,6,4,1,3,2,1,3
26,reneri,1,14,14,0,0,0,1,2,0,0,0,5,2,4,2,1,0,6,5,0,0,0,0,0,0,0,0
26,reneri,2,,,,,,,,,,,,,,,,,,,,,,,,,,
27,pit,1,15,15,0,0,0,0,5,0,0,0,7,1,2,2,1,0,7,0,0,5,0,0,0,0,0,0
27,pit,2,24,24,0,1,0,1,7,0,0,1,8,2,4,2,1,2,7,5,1,6,0,0,0,0,0,0
28,pit,1,15,15,0,1,0,1,2,0,0,0,5,2,4,2,1,1,6,5,0,0,0,0,0,0,0,0
28,pit,2,23,23,0,1,0,1,6,0,0,1,8,2,4,2,1,2,6,5,1,6,0,0,0,0,0,0
29,pit,1,20,20,0,1,0,1,4,0,0,0,8,2,4,2,1,2,6,5,0,4,0,0,0,0,0,0
29,pit,2,30,24,6,1,0,1,7,0,2,1,8,6,4,2,1,2,7,5,1,6,4,0,0,2,0,0
30,pit,1,24,24,0,1,0,1,7,0,0,1,8,2,4,2,1,2,7,5,1,6,0,0,0,0,0,0
30,pit,2,27,24,3,1,0,1,7,0,2,1,8,2,5,2,1,2,7,5,1,6,2,0,0,0,1,0
31,pit,1,4,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
31,pit,2,15,15,0,0,0,0,2,0,0,0,8,2,3,2,1,0,4,3,0,5,0,0,0,0,0,0
32,reneri,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
32,reneri,2,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
33,pit,1,14,14,0,0,0,0,2,0,0,0,8,2,2,2,1,0,5,2,0,4,0,0,0,0,0,0
33,pit,2,24,24,0,1,0,1,7,0,0,1,8,2,4,2,1,2,7,5,1,6,0,0,0,0,0,0
34,pit,1,13,13,0,0,0,0,3,0,0,0,7,1,2,2,1,0,6,0,0,4,0,0,0,0,0,0
34,pit,2,14,14,0,0,0,0,4,0,0,0,7,1,2,2,1,0,7,0,0,4,0,0,0,0,0,0
35,reneri,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,reneri,2,17,11,6,0,0,0,5,0,2,0,4,4,2,1,1,1,2,1,0,5,4,0,0,2,0,0
36,reneri,1,11,11,0,1,0,1,0,0,0,0,8,0,1,0,1,1,4,2,0,3,0,0,0,0,0,0
