id,group,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,c1_part1,c2_part1,c3_part1,c4_part1,c5_part1,c1_part2,c2_part2,c3_part2,c4_part2,c5_part2
1,reneri,,,,,,,,,,,,,,,4,1,4,4,3,4,1,4,,3
2,pit,3,1,1,2,1,1,1,1,1,1,2,1,1,2,4,4,4,4,4,,,,,
3,reneri,2,2,1,1,1,1,2,1,1,2,2,1,1,1,4,2,2,3,"3,5",4,3,3,"3,5","3,5"
4,reneri,1,1,2,3,1,2,2,1,1,3,2,1,1,1,,,,,,,,,,
5,reneri,3,2,2,3,2,2,2,1,2,1,2,1,1,1,4,2,3,4,3,4,1,3,4,3
6,reneri,2,1,2,2,1,2,2,1,1,1,1,1,2,3,4,4,3,3,4,3,2,2,3,4
7,reneri,2,2,1,1,1,1,2,1,1,2,2,1,1,1,4,2,2,3,4,4,"2,5","2,5","3,5",4
8,reneri,3,2,2,3,2,2,2,1,1,2,2,1,2,2,,,,,,3,2,2,3,3
9,pit,2,1,1,3,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,reneri,2,3,3,2,3,2,1,1,1,2,1,1,2,1,4,1,2,3,3,3,1,2,2,1
11,reneri,2,3,3,3,2,3,1,1,1,3,2,1,1,1,4,2,2,2,3,4,2,2,3,
12,pit,2,3,1,3,1,1,1,1,1,1,2,1,1,2,4,1,1,4,2,4,3,3,4,3
13,reneri,2,2,2,3,2,2,2,1,1,2,2,1,1,1,4,2,2,4,4,4,3,2,4,4
14,pit,2,1,1,3,2,2,2,1,1,2,2,1,1,1,4,1,2,4,4,4,3,3,4,4
15,pit,4,3,2,2,1,2,1,1,1,1,2,2,1,2,4,2,3,3,4,4,3,3,4,4
16,reneri,2,2,1,3,1,1,1,1,1,3,2,1,3,1,,,,,,,,,,
17,reneri,3,2,2,1,2,2,2,1,1,2,2,1,1,2,4,3,2,4,4,4,2,3,3,5
18,pit,2,1,1,1,2,2,2,1,1,1,2,1,1,1,4,1,2,2,4,4,1,1,2,4
19,pit,3,3,1,3,2,2,2,1,1,1,2,1,1,1,4,3,3,2,3,4,3,3,3,3
20,pit,2,2,1,3,2,2,1,1,1,2,2,1,2,2,2,1,3,3,4,1,1,1,3,4
21,pit,3,2,2,3,3,3,2,1,1,3,2,1,1,1,2,1,2,4,3,1,1,1,2,2
22,reneri,3,1,2,3,2,2,1,1,1,2,2,1,2,1,4,3,3,4,3,2,2,3,4,2
23,reneri,3,2,2,2,1,3,2,1,1,1,1,1,3,1,4,2,3,3,4,4,3,4,3,4
24,reneri,2,2,1,1,1,1,2,1,1,2,2,1,2,1,4,1,2,4,2,4,1,4,4,4
25,reneri,3,3,2,3,1,2,2,1,1,1,2,1,1,1,4,3,4,3,3,4,3,4,3,3
26,reneri,2,2,1,1,1,1,3,1,1,2,2,1,1,1,4,1,1,4,2,3,1,1,3,2
27,pit,3,2,2,3,2,2,1,1,1,2,2,1,1,1,4,1,3,4,4,4,3,4,4,4
28,pit,2,2,1,3,2,2,2,1,1,2,2,1,1,1,1,1,2,3,2,2,1,1,2,2
29,pit,2,2,2,3,2,2,1,1,1,3,2,1,3,1,4,1,1,1,2,4,2,2,1,3
30,pit,4,4,3,3,1,3,2,1,1,1,3,1,1,1,4,4,4,4,4,4,4,4,4,4
31,pit,2,2,2,1,2,1,2,1,1,1,2,1,2,1,4,3,3,3,2,4,3,3,4,3
32,reneri,2,1,1,3,1,1,1,1,1,3,2,2,1,2,2,3,4,4,3,2,3,4,3,
33,pit,2,2,2,3,1,1,1,1,1,2,2,1,2,1,4,1,1,3,2,2,1,1,2,2
34,pit,2,2,2,3,1,2,2,1,1,3,3,1,3,1,2,2,3,3,3,4,3,2,3,3
35,reneri,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,4,2,3,1,2,1,4
36,reneri,2,2,1,1,2,1,2,1,2,2,2,1,1,1,4,2,2,3,4,4,3,3,4,4
37,pit,2,2,1,3,1,1,2,1,1,1,3,1,1,1,4,4,4,2,3,4,4,4,2,3
38,pit,2,3,2,3,3,2,1,1,1,2,1,1,1,1,4,1,3,3,3,2,1,1,1,4
39,pit,2,2,2,3,1,2,2,1,1,2,2,1,2,1,4,2,3,4,2,3,1,2,3,1
40,reneri,2,3,2,2,2,3,2,1,1,1,3,1,1,2,5,4,3,4,2,4,3,4,4,2
41,pit,3,2,3,4,2,1,2,1,1,2,3,1,2,1,4,3,3,2,3,4,1,2,3,0
42,pit,2,2,2,1,1,2,2,1,1,2,2,1,2,1,3,1,2,3,3,3,2,3,3,3
43,reneri,,,,,,,,,,,,,,,4,2,2,4,3,4,3,2,3,3
